Browse	Prehľadávať
Error updating the current record	Chyba pri aktualizácii aktuálneho záznamu
Error deleting the current record	Chyba pri odstraňovaní aktuálneho záznamu
Error deleting the specified records	Chyba pri odstraňovaní uvedených záznamov
The object cannot be NULL.	Objekt nemôže byť NULL.
Insert Image from...	Vložiť obrázok z...
Remove Image	Odstrániť obrázok
The given stream is invalid.	Zadaný tok je neplatný.
Syntax error in query expression	Chyba syntaxu v dotaze
The value types supported by the binding cannot be used for exchanging data with this control.	Typy hodnôt, podporované touto väzbou, nemôžu byť použité na výmenu dát s týmto ovládacím prvkom.
Record	Záznam
of	z
To execute this function, parameters are needed.	Pre vykonanie tejto funkcie sú potrebné parametre.
This function cannot be executed, but is only for status queries.	Táto funkcia nemôže byť vykonaná, je možné ju použiť pre dotazy stavu.
Unknown function.	Neznáma funkcia.
Please enter a binding expression.	Prosím zadajte výraz pre väzbu.
This is an invalid binding expression.	Toto je neplatný výraz pre väzbu.
Value is invalid.	Hodnota je neplatná.
A value is required.	Hodnota je požadovaná.
The constraint '$1' not validated.	Vymedzenie '$1' nie je overené.
The value is not of the type '$2'.	Hodnota nie je typu '$2'.
The value must be smaller than or equal to $2.	Hodnota musí byť menšia alebo rovná $2.
The value must be smaller than $2.	Hodnota musí byť menšia ako $2.
The value must be greater than or equal to $2.	Hodnota musí byť väčšia alebo rovná $2.
The value must be greater than $2.	Hodnota musí byť väčšia ako $2.
$2 digits allowed at most.	Dovolené sú(je) najviac $2 číslice(ic).
$2 fraction digits allowed at most.	Dovolené sú(je) najviac $2 zlomkové(á) číslice(ic).
The string must be $2 characters long.	Reťazec musí obsahovať $2 znakov(ky).
The string must be at least $2 characters long.	Reťazec musí obsahovať minimálne $2 znakov(ky).
The string can only be $2 characters long at most.	Reťazec môže obsahovať maximálne $2 znakov(ky).
True/False (Boolean)	Pravda/Nepravda (logické)
Decimal	Desatinné
Floating point	Plávajúca desatinná čiarka (Floating point)
Double	Dvojitá presnosť (Double)
Date and Time	Dátum a čas
Day	Deň
Error during evaluation	Chyba počas vyhodnocovania
The string '$1' does not match the required regular expression '$2'.	Reťazec '$1' nezodpovedá regulárnemu výrazu '$2'.
This is a built-in type and cannot be removed.	Toto je vstavaný typ a nemožno ho odstrániť.
IF	IF
IFERROR	IFERROR
IFNA	IFNA
CHOOSE	CHOOSE
#All	#Všetko
#Headers	#Hlavičky
#Data	#Dáta
#Totals	#Súčty
#This Row	#Tento riadok
AND	AND
XOR	XOR
NOT	NOT
NEG	NEG
PI	PI
RAND	RAND
TRUE	TRUE
FALSE	FALSE
TODAY	TODAY
NOW	NOW
NA	NA
CURRENT	CURRENT
DEGREES	DEGREES
RADIANS	RADIANS
SIN	SIN
COS	COS
TAN	TAN
COT	COT
ASIN	ASIN
ACOS	ACOS
ATAN	ATAN
ACOT	ACOT
SINH	SINH
COSH	COSH
TANH	TANH
COTH	COTH
ASINH	ASINH
ACOSH	ACOSH
ATANH	ATANH
ACOTH	ACOTH
CSC	CSC
SEC	SEC
CSCH	CSCH
SECH	SECH
EXP	EXP
LN	LN
SQRT	SQRT
FACT	FACT
YEAR	YEAR
MONTH	MONTH
DAY	DAY
HOUR	HOUR
MINUTE	MINUTE
SECOND	SECOND
SIGN	SIGN
ABS	ABS
INT	INT
PHI	PHI
GAUSS	GAUSS
ISBLANK	ISBLANK
ISTEXT	ISTEXT
ISNONTEXT	ISNONTEXT
ISLOGICAL	ISLOGICAL
TYPE	TYPE
CELL	CELL
ISREF	ISREF
ISNUMBER	ISNUMBER
ISFORMULA	ISFORMULA
ISNA	ISNA
ISERR	ISERR
ISERROR	ISERROR
ISEVEN	ISEVEN
ISODD	ISODD
DATEVALUE	DATEVALUE
TIMEVALUE	TIMEVALUE
CODE	CODE
TRIM	TRIM
UPPER	UPPER
PROPER	PROPER
LOWER	LOWER
LEN	LEN
T	T
VALUE	VALUE
CLEAN	CLEAN
CHAR	CHAR
JIS	JIS
ASC	ASC
UNICODE	UNICODE
UNICHAR	UNICHAR
LOG10	LOG10
EVEN	EVEN
ODD	ODD
NORMSDIST	NORMSDIST
NORM.S.DIST	NORM.S.DIST
FISHER	FISHER
FISHERINV	FISHERINV
NORMSINV	NORMSINV
NORM.S.INV	NORM.S.INV
GAMMALN	GAMMALN
GAMMALN.PRECISE	GAMMALN.PRECISE
ERRORTYPE	ERRORTYPE
ERROR.TYPE	ERROR.TYPE
FORMULA	FORMULA
ARABIC	ARABIC
ATAN2	ATAN2
CEILING.MATH	CEILING.MATH
CEILING	CEILING
CEILING.XCL	CEILING.XCL
CEILING.PRECISE	CEILING.PRECISE
ISO.CEILING	ISO.CEILING
FLOOR	FLOOR
FLOOR.XCL	FLOOR.XCL
FLOOR.MATH	FLOOR.MATH
FLOOR.PRECISE	FLOOR.PRECISE
ROUND	ROUND
ROUNDUP	ROUNDUP
ROUNDDOWN	ROUNDDOWN
TRUNC	TRUNC
LOG	LOG
POWER	POWER
GCD	GCD
LCM	LCM
MOD	MOD
SUMPRODUCT	SUMPRODUCT
SUMSQ	SUMSQ
SUMX2MY2	SUMX2MY2
SUMX2PY2	SUMX2PY2
SUMXMY2	SUMXMY2
DATE	DATE
TIME	TIME
DAYS	DAYS
DAYS360	DAYS360
DATEDIF	DATEDIF
MIN	MIN
MINA	MINA
MAX	MAX
MAXA	MAXA
SUM	SUM
PRODUCT	PRODUCT
AVERAGE	AVERAGE
AVERAGEA	AVERAGEA
COUNT	COUNT
COUNTA	COUNTA
NPV	NPV
IRR	IRR
MIRR	MIRR
ISPMT	ISPMT
VAR	VAR
VARA	VARA
VARP	VARP
VARPA	VARPA
VAR.P	VAR.P
VAR.S	VAR.S
STDEV	STDEV
STDEVA	STDEVA
STDEVP	STDEVP
STDEVPA	STDEVPA
STDEV.P	STDEV.P
STDEV.S	STDEV.S
NORMDIST	NORMDIST
NORM.DIST	NORM.DIST
EXPONDIST	EXPONDIST
EXPON.DIST	EXPON.DIST
BINOMDIST	BINOMDIST
BINOM.DIST	BINOM.DIST
POISSON	POISSON
POISSON.DIST	POISSON.DIST
COMBIN	COMBIN
COMBINA	COMBINA
PERMUT	PERMUT
PERMUTATIONA	PERMUTATIONA
PV	PV
SYD	SYD
DDB	DDB
DB	DB
VDB	VDB
PDURATION	PDURATION
SLN	SLN
PMT	PMT
COLUMNS	COLUMNS
ROWS	ROWS
SHEETS	SHEETS
COLUMN	COLUMN
ROW	ROW
SHEET	SHEET
RRI	RRI
FV	FV
NPER	NPER
RATE	RATE
IPMT	IPMT
PPMT	PPMT
CUMIPMT	CUMIPMT
CUMPRINC	CUMPRINC
EFFECT	EFFECT
NOMINAL	NOMINAL
SUBTOTAL	SUBTOTAL
DSUM	DSUM
DCOUNT	DCOUNT
DCOUNTA	DCOUNTA
DAVERAGE	DAVERAGE
DGET	DGET
DMAX	DMAX
DMIN	DMIN
DPRODUCT	DPRODUCT
DSTDEV	DSTDEV
DSTDEVP	DSTDEVP
DVAR	DVAR
DVARP	DVARP
INDIRECT	INDIRECT
ADDRESS	ADDRESS
MATCH	MATCH
COUNTBLANK	COUNTBLANK
COUNTIF	COUNTIF
SUMIF	SUMIF
AVERAGEIF	AVERAGEIF
SUMIFS	SUMIFS
AVERAGEIFS	AVERAGEIFS
COUNTIFS	COUNTIFS
LOOKUP	LOOKUP
VLOOKUP	VLOOKUP
HLOOKUP	HLOOKUP
MULTIRANGE	MULTIRANGE
OFFSET	OFFSET
INDEX	INDEX
AREAS	AREAS
DOLLAR	DOLLAR
REPLACE	REPLACE
FIXED	FIXED
FIND	FIND
EXACT	EXACT
LEFT	LEFT
RIGHT	RIGHT
SEARCH	SEARCH
MID	MID
LENB	LENB
RIGHTB	RIGHTB
LEFTB	LEFTB
REPLACEB	REPLACEB
MIDB	MIDB
TEXT	TEXT
SUBSTITUTE	SUBSTITUTE
REPT	REPT
CONCATENATE	CONCATENATE
CONCAT	CONCAT
TEXTJOIN	TEXTJOIN
IFS	IFS
SWITCH	SWITCH
MINIFS	MINIFS
MAXIFS	MAXIFS
MVALUE	MVALUE
MDETERM	MDETERM
MINVERSE	MINVERSE
MMULT	MMULT
TRANSPOSE	TRANSPOSE
MUNIT	MUNIT
GOALSEEK	GOALSEEK
HYPGEOMDIST	HYPGEOMDIST
HYPGEOM.DIST	HYPGEOM.DIST
LOGNORMDIST	LOGNORMDIST
LOGNORM.DIST	LOGNORM.DIST
TDIST	TDIST
T.DIST.2T	T.DIST.2T
T.DIST	T.DIST
T.DIST.RT	T.DIST.RT
FDIST	FDIST
F.DIST	F.DIST
F.DIST.RT	F.DIST.RT
CHIDIST	CHIDIST
CHISQ.DIST.RT	CHISQ.DIST.RT
WEIBULL	WEIBULL
WEIBULL.DIST	WEIBULL.DIST
NEGBINOMDIST	NEGBINOMDIST
NEGBINOM.DIST	NEGBINOM.DIST
CRITBINOM	CRITBINOM
BINOM.INV	BINOM.INV
KURT	KURT
HARMEAN	HARMEAN
GEOMEAN	GEOMEAN
STANDARDIZE	STANDARDIZE
AVEDEV	AVEDEV
SKEW	SKEW
SKEWP	SKEWP
DEVSQ	DEVSQ
MEDIAN	MEDIAN
MODE	MODE
MODE.SNGL	MODE.SNGL
MODE.MULT	MODE.MULT
ZTEST	ZTEST
Z.TEST	Z.TEST
AGGREGATE	AGGREGATE
TTEST	TTEST
T.TEST	T.TEST
RANK	RANK
PERCENTILE	PERCENTILE
PERCENTRANK	PERCENTRANK
PERCENTILE.INC	PERCENTILE.INC
PERCENTRANK.INC	PERCENTRANK.INC
QUARTILE.INC	QUARTILE.INC
RANK.EQ	RANK.EQ
PERCENTILE.EXC	PERCENTILE.EXC
PERCENTRANK.EXC	PERCENTRANK.EXC
QUARTILE.EXC	QUARTILE.EXC
RANK.AVG	RANK.AVG
LARGE	LARGE
SMALL	SMALL
FREQUENCY	FREQUENCY
QUARTILE	QUARTILE
NORMINV	NORMINV
NORM.INV	NORM.INV
CONFIDENCE	CONFIDENCE
CONFIDENCE.NORM	CONFIDENCE.NORM
CONFIDENCE.T	CONFIDENCE.T
FTEST	FTEST
F.TEST	F.TEST
TRIMMEAN	TRIMMEAN
PROB	PROB
CORREL	CORREL
COVAR	COVAR
COVARIANCE.P	COVARIANCE.P
COVARIANCE.S	COVARIANCE.S
PEARSON	PEARSON
RSQ	RSQ
STEYX	STEYX
SLOPE	SLOPE
INTERCEPT	INTERCEPT
TREND	TREND
GROWTH	GROWTH
LINEST	LINEST
LOGEST	LOGEST
FORECAST	FORECAST
FORECAST.ETS.ADD	FORECAST.ETS.ADD
FORECAST.ETS.SEASONALITY	FORECAST.ETS.SEASONALITY
FORECAST.ETS.MULT	FORECAST.ETS.MULT
FORECAST.ETS.PI.ADD	FORECAST.ETS.PI.ADD
FORECAST.ETS.PI.MULT	FORECAST.ETS.PI.MULT
FORECAST.ETS.STAT.ADD	FORECAST.ETS.STAT.ADD
FORECAST.ETS.STAT.MULT	FORECAST.ETS.STAT.MULT
FORECAST.LINEAR	FORECAST.LINEAR
CHIINV	CHIINV
CHISQ.INV.RT	CHISQ.INV.RT
GAMMADIST	GAMMADIST
GAMMA.DIST	GAMMA.DIST
GAMMAINV	GAMMAINV
GAMMA.INV	GAMMA.INV
TINV	TINV
T.INV.2T	T.INV.2T
T.INV	T.INV
FINV	FINV
F.INV	F.INV
F.INV.RT	F.INV.RT
CHITEST	CHITEST
CHISQ.TEST	CHISQ.TEST
LOGINV	LOGINV
LOGNORM.INV	LOGNORM.INV
MULTIPLE.OPERATIONS	MULTIPLE.OPERATIONS
BETADIST	BETADIST
BETAINV	BETAINV
BETA.DIST	BETA.DIST
BETA.INV	BETA.INV
WEEKNUM	WEEKNUM
ISOWEEKNUM	ISOWEEKNUM
WEEKNUMOOO	WEEKNUMOOO
EASTERSUNDAY	EASTERSUNDAY
WEEKDAY	WEEKDAY
NETWORKDAYS	NETWORKDAYS
NETWORKDAYS.INTL	NETWORKDAYS.INTL
WORKDAY.INTL	WORKDAY.INTL
#NAME!	#NAME!
STYLE	STYLE
DDE	DDE
BASE	BASE
DECIMAL	DECIMAL
CONVERTOOO	CONVERTOOO
ROMAN	ROMAN
HYPERLINK	HYPERLINK
INFO	INFO
BAHTTEXT	BAHTTEXT
GETPIVOTDATA	GETPIVOTDATA
EUROCONVERT	EUROCONVERT
NUMBERVALUE	NUMBERVALUE
GAMMA	GAMMA
CHISQDIST	CHISQDIST
CHISQ.DIST	CHISQ.DIST
CHISQINV	CHISQINV
CHISQ.INV	CHISQ.INV
BITAND	BITAND
BITOR	BITOR
BITXOR	BITXOR
BITRSHIFT	BITRSHIFT
BITLSHIFT	BITLSHIFT
#NULL!	#NULL!
#DIV/0!	#DIV/0!
#VALUE!	#VALUE!
#REF!	#REF!
#NAME?	#NAME?
#NUM!	#NUM!
#N/A	#N/A
FILTERXML	FILTERXML
COLOR	COLOR
WEBSERVICE	WEBSERVICE
ERF.PRECISE	ERF.PRECISE
ERFC.PRECISE	ERFC.PRECISE
ENCODEURL	ENCODEURL
RAWSUBTRACT	RAWSUBTRACT
ROUNDSIG	ROUNDSIG
FINDB	FINDB
SEARCHB	SEARCHB
REGEX	REGEX
FOURIER	FOURIER
RAND.NV	RAND.NV
RANDBETWEEN.NV	RANDBETWEEN.NV
(optional)	(nepovinné)
(required)	(požadované)
Function Wizard	Sprievodca funkciou
Function Wizard  -	Sprievodca funkciou -
Shrink	Zmenšiť
Array	Pole
Next >	Ďalej >
Function result	Výsledok funkcie
Maximize	Maximalizovať
Search for a part of the function name.	Vyhľadať časť názvu funkcie.
Last Used	Naposledy použité
Displays the functions found under the selected category. Double-click to select a function.	Zobrazí funkcie nájdené vo vybranej kategórii. Funkciu vyberiete tak, že na ňu dvakrát kliknete.
Opens the Function Wizard, which helps you to interactively create formulas.	Otvorí Sprievodcu funkciou, ktorý pomáha interaktívne vytvárať vzorce.
Function not known	Neznáma funkcia
Select	Zvoliť
Displays a hierarchical representation of the current function.	Zobrazí hierarchickú reprezentáciu aktuálnej funkcie.
Save as	Uložiť ako
Select path	Vybrať cestu
Select	Vybrať
File Preview	Náhľad súboru
Servers...	Servery...
Connect To Server	Pripojiť sa k serveru
Create New Folder	Vytvoriť nový priečinok
Places	Miesta
Date modified	Dátum zmeny
Save with password	Uložiť s heslom
Automatic file name extension	Automatická prípona mena súboru
Edit filter settings	Upraviť nastavenie filtra
Encrypt with GPG key	Šifrovať GPG kľúčom
Add service	Pridať službu
Edit service	Upraviť službu
Delete service	Odstrániť službu
Change password	Zmeniť heslo
Remote Files	Vzdialené súbory
Service:	Služba:
Manage services	Spravovať služby
List view	Náhľad so zoznamom
Icon view	Náhľad s ikonami
File name	Názov súboru
Encrypt with GPG key	Šifrovať pomocou GPG kľúča
Edit filter settings	Upraviť nastavenia filtra
Read-only	Len na čítanie
Styles:	Štýly:
Anchor:	Ukotvenie:
Please select a folder.	Vyberte priečinok.
Root	Koreň
File type	Typ súboru
Close & Return to 	Zatvoriť a návrat do 
Visible Buttons	Viditeľné tlačidlá
Customize Toolbar...	Prispôsobiť panel nástrojov...
Undock Toolbar	Uvoľnit nástrojovú lištu
Dock Toolbar	Ukotviť panel nástrojov
Dock All Toolbars	Ukotviť všetky panely nástrojov
Lock Toolbar Position	Zamknúť umiestnenie panelu nástrojov
Close Toolbar	Zatvoriť panel nástrojov
Save Copy as...	Uložiť kópiu ako...
No Documents	Žiadne dokumenty
Clear List	Odstrániť zoznam
Clears the list with the most recently opened files. This action can not be undone.	Odstráni zoznam nedávno otvorených súborov. Táto akcia je nevratná.
 (Remote)	 (vzdialený)
 (Safe Mode)	(núdzový režim)
Add-On %num%	Rozšírenie %num%
Retry	Skúsiť znovu
Multiple Languages	Rôzne jazyky
None (Do not check spelling)	Žiadny (nekontrolovať pravopis)
Reset to Default Language	Nastaviť na predvolený jazyk
Set Language for Paragraph	Nastaviť jazyk pre odsek
Text Language. Right-click to set character or paragraph language	Jazyk textu. Kliknite pravým tlačidlom pre nastavenie jazyka znaku alebo odseku
Advertising application	Oznámenia aplikácie
Allocating registry space	Alokuje sa miesto v registroch
Free space: [1]	Voľné miesto: [1]
Searching for installed applications	Vyhľadávajú sa nainštalované aplikácie
Property: [1], Signature: [2]	Vlastníctvo: [1], Podpis: [2]
Binding executables	Súvisiace exe programy
File: [1]	Súbor: [1]
Creating IIS Virtual Roots...	Vytvárajú sa IIS Virtual Roots...
Removing IIS Virtual Roots...	Odstraňujú sa IIS Virtual Roots...
Searching for qualifying products	Hľadajú sa vhodné produkty
Computing space requirements	Vypočítava sa potrebné miesto
Creating folders	Vytvárajú sa priečinky
Folder: [1]	Priečinok: [1]
Creating shortcuts	Vytvárajú sa odkazy
Shortcut: [1]	Odkaz: [1]
Deleting services	Mažú sa služby
Service: [1]	Služba: [1]
Creating duplicate files	Vytvárajú sa duplicitné súbory
File: [1],  Directory: [9],  Size: [6]	Súbor: [1], Priečinok: [9], Veľkosť: [6]
Searching for related applications	Hľadajú sa súvisiace aplikácie
Found application	Nájdená aplikácia
Generating script operations for action:	Vytvárajú sa skripty pre operáciu:
[1]	[1]
Copying files to the network	Kopírujú sa súbory na sieť
File: [1], Directory: [9], Size: [6]	Súbor: [1], Priečinok: [9], Veľkosť: [6]
Copying new files	Kopírujú sa nové súbory
Installing ODBC components	Inštalujú sa ODBC komponenty
Installing new services	Inštalujú sa nové služby
Service: [2]	Služba: [2]
Installing system catalog	Inštaluje sa systémový katalóg
File: [1],  Dependencies: [2]	Súbor: [1], Závislosti: [2]
Validating install	Overujem inštaláciu
Evaluating launch conditions	Vyhodnocujú sa podmienky pre spustenie
Migrating feature states from related applications	Prenáša sa stav vlastností zo súvisiacich aplikácií
Application: [1]	Aplikácia: [1]
Moving files	Presúvajú sa súbory
Patching files	Opravujú sa súbory
File: [1],  Directory: [2],  Size: [3]	Súbor: [1], Priečinok: [2], Veľkosť: [3]
Updating component registration	Aktualizuje sa registrácia komponentov
Publishing qualified components	Zverejňujú sa vhodné komponenty
Component ID: [1], Qualifier: [2]	ID komponentu: [1], Vyhodnocovateľ: [2]
Publishing product features	Zverejňujú sa vlastnosti produktu
Feature: [1]	Súčasť: [1]
Publishing product information	Zverejňujú sa informácie o produkte
Registering class servers	Registrujú sa skupiny serverov
Class ID: [1]	ID skupiny: [1]
Registering COM+ Applications and Components	Registrujú sa aplikácie a komponenty COM+
AppId: [1]{{, AppType: [2], Users: [3], RSN: [4]}}	AppId: [1]{{, AppTyp: [2], Používatelia: [3], RSN: [4]}}
Registering extension servers	Registrujú sa rozšírené servery
Extension: [1]	Rozšírenie: [1]
Registering fonts	Registrujú sa písma
Font: [1]	Písmo: [1]
Registering MIME info	Registrujú sa MIME informácie
MIME Content Type: [1], Extension: [2]	MIME typ obsahu: [1], Prípona: [2]
Registering product	Registruje sa produkt
Registering program identifiers	Registrujú sa identifikátory programu
ProgID: [1]	ProgID: [1]
Registering type libraries	Registrujú sa typové knižnice
LibID: [1]	LibID: [1]
Registering user	Registruje sa používateľ
Removing duplicated files	Odstraňujú sa duplicitné súbory
File: [1], Directory: [9]	Súbor: [1], Priečinok: [9]
Updating environment strings	Aktualizujú sa reťazce prostredia
Name: [1], Value: [2], Action [3]	Názov: [1], Hodnota: [2], Činnosť [3]
Removing applications	Odstraňujú sa aplikácie
Application: [1], Command line: [2]	Aplikácia: [1], Príkazový riadok: [2]
Removing files from previous installation	Odstrániť súbory z predchádzajúcej inštalácie
Removing folders	Odstraňujú sa priečinky
Removing INI file entries	Odstraňujú sa zápisy INI súboru
File: [1],  Section: [2],  Key: [3], Value: [4]	Súbor: [1], Sekcia: [2], Kľúč: [3], Hodnota: [4]
Removing ODBC components	Odstraňujú sa komponenty ODBC
Removing system registry values	Odstraňujú sa hodnoty v systémovom registri
Key: [1], Name: [2]	Kľúč: [1], Názov: [2]
Removing shortcuts	Odstraňujú sa odkazy
Rolling back action:	Vrátenie predošlého stavu:
Removing backup files	Odstraňujú sa záložné súbory
Initializing ODBC directories	Inicializujú sa priečinky ODBC
Starting services	Spúšťajú sa služby
Stopping services	Zastavujú sa služby
Removing moved files	Odstraňujú sa presunuté súbory
Unpublishing Qualified Components	Ruší sa zverejnenie vhodných komponentov
Unpublishing product features	Ruší sa zverejnenie vlastností produktu
Unpublishing product information	Ruší sa zverejnenie informácií o produkte
Unregister class servers	Ruší sa registrácia skupiny serverov
Unregistering COM+ Applications and Components	Ruší sa registrácia aplikácií a komponentov COM+
AppId: [1]{{, AppType: [2]}}	AppId: [1]{{, AppTyp: [2]}}
Unregistering extension servers	Ruší sa registrácia rozšírených serverov
Unregistering fonts	Ruší sa registrácia písiem
Unregistering MIME info	Ruší sa registrácia MIME informácií
Unregistering program identifiers	Ruší sa registrácia identifikátorov programu
Unregistering type libraries	Ruší sa registrácia typových knižníc
Writing INI file values	Zapisujú sa hodnoty INI súboru
Writing system registry values	Zapisujú sa hodnoty systémového registra
Key: [1], Name: [2], Value: [3]	Kľúč: [1], Názov: [2], Hodnota: [3]
&Look in:	&Hľadať v:
Browse to the destination folder.	Prehľadávať cieľový priečinok.
{&DialogDefaultBold}Change Current Destination Folder	{&DialogDefaultBold}Zmeniť aktuálny cieľový priečinok
Create new folder|	Vytvoriť nový priečinok|
&Folder name:	&Názov priečinku:
Up one level|	O úroveň vyššie|
< &Back	< &Späť
&Change...	&Zmeniť...
Specify a network location for the server image of the product.	Určte umiestnenie serverového obrazu produktu v sieti.
{&MSSansBold8}Network Location	{&MSSansBold8}Umiestnenie v sieti
&Install	&Inštalovať
&Network location:	&Umiestnenie v sieti:
&Next >	Ď&alej >
{&DialogDefaultBold}Welcome to the Installation Wizard for [ProductName]	{&DialogDefaultBold}Vitajte v sprievodcovi inštaláciou [ProductName]
&No	&Nie
Are you sure you want to cancel [ProductName] installation?	Ste si istí, že chcete zrušiť inštaláciu [ProductName]?
&Yes	&Áno
{\DialogDefault}{80}	{\DialogDefault}{80}
&Organization:	&Organizácia:
Please enter your information.	Prosím, zadajte vaše informácie.
Install this application for:	Inštalovať túto aplikáciu pre:
{&DialogDefaultBold}User Information	{&DialogDefaultBold}Používateľské údaje
{\DialogDefault}{50}	{\DialogDefault}{50}
&User Name:	Meno po&užívateľa:
&Space	&Miesto
Select the program features you want installed.	Vyberte súčasti programu, ktoré chcete inštalovať.
Click on an icon in the list below to change how a feature is installed.	Ak chcete zmeniť spôsob, akým je súčasť nainštalovaná, kliknite na ikonu v uvedenom zozname.
{&DialogDefaultBold}Custom Setup	{&DialogDefaultBold}Vlastné nastavenie
Feature Description:	Popis súčasti:
&Help	&Pomocník
Install to:	Inštalovať do:
Multiline description of the currently selected item	Viacriadkový opis vybranej položky
<selected feature path>	<vybraná cesta súčasti>
Feature size	Veľkosť súčasti
Custom Setup allows you to selectively install program features.	Vlastné nastavenie vám umožní vybrať inštalované súčasti.
{&DialogDefaultBold}Custom Setup Tips	{&DialogDefaultBold}Rady pre vlastné nastavenie
Will not be installed.	Nebude sa inštalovať.
Will be installed on first use. (Available only if the feature supports this option.)	Bude sa inštalovať pri prvom použití. (Dostupné len ak súčasť podporuje túto voľbu.)
This install state means the feature...	Tento stav inštalácie znamená, že súčasť...
Will be completely installed to the local hard drive.	Bude kompletne nainštalovaná na lokálny pevný disk.
Will be installed to run from the network. (Available only if the feature supports this option.)	Bude inštalovaná ako sieťová. (Dostupné len ak súčasť podporuje túto voľbu.)
Click Next to install to this folder, or click Change to install to a different folder.	Ak chcete inštalovať do tohto priečinku, kliknite na Ďalej, alebo ak chcete inštalovať do iného priečinku, kliknite na Zmeniť.
{&DialogDefaultBold}Destination Folder	{&DialogDefaultBold}Cieľový priečinok
[INSTALLDIR]	[INSTALLDIR]
Install [ProductName] to:	Inštalovať [ProductName] do:
The disk space required for the installation of the selected features.	Potrebné miesto na inštaláciu vybraných súčastí.
{&DialogDefaultBold}Disk Space Requirements	{&DialogDefaultBold}Požiadavky na miesto na disku
Some files that need to be updated are currently in use.	Niektoré súbory, ktoré musia byť aktualizované, sa v súčasnosti používajú.
{&DialogDefaultBold}Files in Use	{&DialogDefaultBold}Používané súbory
&Exit	&Ukončiť
&Ignore	&Ignorovať
&Retry	Skúsiť &znovu
Create New Folder|	Vytvoriť nový priečinok|
Up One Level|	O úroveň vyššie|
{&DialogHeading}Welcome to the Installation Wizard for [ProductName]	{&DialogHeading}Vitajte v sprievodcovi inštaláciou [ProductName]
The Installation Wizard will install [ProductName] on your computer. To continue, click Next.	Sprievodca inštaláciou nainštaluje [ProductName] na váš počítač. Pokračujte kliknutím na Ďalej.
Please read the following license agreement carefully.	Prosím pozorne si prečítajte nasledujúcu licenčnú zmluvu.
{&DialogDefaultBold}License Agreement	{&DialogDefaultBold}Licenčné podmienky
Modify, repair, or remove the program.	Upraviť, opraviť alebo odstrániť program.
{&DialogDefaultBold}Program Maintenance	{&DialogDefaultBold}Správa programu
Remove [ProductName] from your computer.	Odstrániť [ProductName] z vášho počítača.
Disk space required for the installation exceeds available disk space.	Potrebné miesto pre inštaláciu presahuje dostupné miesto na disku.
{&DialogDefaultBold}Out of Disk Space	{&DialogDefaultBold}Nedostatok miesta na disku
{120}{70}{70}{70}{70}	{120}{70}{70}{70}{70}
&Update >	&Aktualizovať >
{&DialogHeading}Welcome to the Patch for [ProductName]	{&DialogHeading}Vitajte v sprievodcovi inštaláciou opravy pre [ProductName]
The wizard is ready to begin installation.	Sprievodca je pripravený začať inštaláciu.
Click Install to begin the installation.	Inštalácia začne po kliknutí na Inštalovať.
{&DialogDefaultBold}Ready to Modify the Program	{&DialogDefaultBold}Úprava programu je pripravená
{&DialogDefaultBold}Ready to Repair the Program	{&DialogDefaultBold}Oprava programu je pripravená
{&DialogDefaultBold}Ready to Install the Program	{&DialogDefaultBold}Inštalácia programu je pripravená
You have chosen to remove the program from your system.	Vybrali ste si odstránenie programu z vášho systému.
If you want to review or change any settings, click Back.	Ak chcete prehodnotiť alebo zmeniť ľubovoľné nastavenia, kliknite na Späť.
{&DialogDefaultBold}Remove the Program	{&DialogDefaultBold}Odinštalovať program
&Remove	&Odstrániť
&Finish	Do&končiť
Your system has not been modified. To complete installation at another time, please run setup again.	Váš systém nebol upravený. Ak budete chcieť dokončiť inštaláciu inokedy, spustite znova inštalátor.
Click Finish to exit the wizard.	Sprievodcu ukončíte kliknutím na Dokončiť.
Click Restore or Continue Later to exit the wizard.	Kliknite na Obnoviť alebo sprievodcu ukončite kliknutím na Pokračovať neskôr.
{&DialogHeading}Installation Wizard Completed	{&DialogHeading}Inštalácia bola dokončená
The wizard was interrupted before [ProductName] could be completely installed.	Sprievodca bol prerušený pred tým, ako mohol byť [ProductName] kompletne nainštalovaný.
The Installation Wizard has successfully installed [ProductName]. Click Finish to exit the wizard.	Sprievodca inštaláciou úspešne nainštaloval [ProductName]. Sprievodcu ukončíte kliknutím na Dokončiť.
The Installation Wizard has successfully uninstalled [ProductName]. Click Finish to exit the wizard.	Sprievodca inštaláciou úspešne odinštaloval [ProductName]. Sprievodcu ukončíte kliknutím na Dokončiť.
&Abort	&Prerušiť
&Cancel	&Zrušiť
&OK	&OK
Progress done	Postup ukončený
The program features you selected are being installed.	Vami vybrané súčasti programu sa inštalujú.
The program features you selected are being uninstalled.	Vami vybrané súčasti programu sa odstraňujú.
Please wait while the Installation Wizard installs [ProductName]. This may take several minutes.	Prosím počkajte pokiaľ sprievodca inštaláciou nenainštaluje [ProductName]. Toto môže trvať niekoľko minút.
Please wait while the Installation Wizard uninstalls [ProductName]. This may take several minutes.	Prosím počkajte, pokiaľ sprievodca inštaláciou neodinštaluje [ProductName]. Toto môže trvať niekoľko minút.
{&DialogDefaultBold}Installing [ProductName]	{&DialogDefaultBold}Inštaluje sa [ProductName]
